institution,sector,artefacts,objects,library_items,archive_items,object_records,library_records,archive_records
Aberystwyth University School of Art Museum and Galleries,university,0,0,0,0,0,0,0
University of Cambridge,university,0,0,0,0,0,0,0
University of Dundee Museums,university,0,0,0,0,0,0,0
University of St Andrews,university,0,0,0,0,0,0,0
Amgueddfa Cymru (National Museum Wales),national,0,0,0,0,0,0,0
National Museums Northern Ireland,national,46618,0,0,0,46618,0,0
Diving Museum,independent,8934,0,0,0,8934,0,0
Ravenglass Railway Museum,independent,8195,0,0,0,8195,0,0
"Aberdeen Archives, Gallery and Museums",regional,149515,0,0,0,149515,0,0
Aldbourne Heritage Centre,regional,3728,0,0,0,3728,0,0
Armagh County Museum,regional,14258,0,0,0,14258,0,0
Jersey Heritage,regional,219359,0,0,0,219359,0,0
Leicester Museums and Galleries,regional,20719,0,0,0,20719,0,0
Loughborough Carillon Tower and War Memorial Museum,regional,4266,0,0,0,4266,0,0
Norfolk Museums,regional,443754,0,0,0,443754,0,0
Nottingham Museums,regional,506639,0,0,0,506639,0,0
Poole Museum,regional,35171,0,0,0,35171,0,0
Teign Heritage Centre,regional,3324,0,0,0,3324,0,0
Science Museum Group,dcms,468063,0,0,0,468063,0,0
