institution,record_count
Aberystwyth University School of Art Museum and Galleries,15342
University of Cambridge,275225
University of Dundee Museums,0
University of St Andrews,0
Amgueddfa Cymru (National Museum Wales),593978
National Museums Northern Ireland,46618
Diving Museum,8934
Ravenglass Railway Museum,8195
"Aberdeen Archives, Gallery and Museums",149515
Aldbourne Heritage Centre,3728
Armagh County Museum,14258
Jersey Heritage,219359
Leicester Museums and Galleries,20719
Loughborough Carillon Tower and War Memorial Museum,4266
Norfolk Museums,443754
Nottingham Museums,506639
Poole Museum,35171
Teign Heritage Centre,3324
Science Museum Group,468063
